nome_conta,Date,nome_campanha,tipo_rede_ad,impressoes,cliques,interacoes,conversoes,valor_conversoes,investido
Intelbras - Solução Residencial (A7B),2022-12-06,AT - Sol. Residenciais - Venda - Casa Inteligente - Institucional - Jun/22,SEARCH,12852.0,884.0,884.0,0.0,0.0,730.745
Intelbras - Segurança (A7B),2022-12-06,[SEG - TMR] Tráfego (Search) - TMR,SEARCH,23664.0,637.5,637.5,8.5,8.5,156.315
Intelbras - Energia Solar (A7B),2022-12-06,[ES - OG] Remarketing (Display) - Simulador Solar,CONTENT,39142.5,1513.0,1513.0,42.5,42.5,249.05
Intelbras - Segurança (A7B),2022-12-06,[SEG - TMR] Remarketing (Display) - Micro SD,CONTENT,15912.0,221.0,221.0,0.0,0.0,385.5905745
Intelbras - Energia Solar (A7B),2022-12-06,[ES - OG] Reconhecimento (Bumper) - Simulador Solar,YOUTUBE_WATCH,573605.5,8.5,8.5,0.0,0.0,1281.2684525
Intelbras - Energia Solar (A7B),2022-12-06,[ES - OG] Leads (Search) - Simulador Solar,SEARCH,82628.5,7140.0,7140.0,1972.934999999999,1972.934999999999,11022.29
Intelbras - Comunicação (A7B),2022-12-06,[CM - EC] Conversão (PMAX) - Wide Chat,MIXED,11339.0,1436.5,1453.5,17.0,17.0,997.5836385
Intelbras - E-commerce (A7B),2022-12-06,[Casa Inteligente] PMax: Soluções Residenciais - Smart Shopping - Lâmpada Inteligente - Casa Inteligente - 06/2022,MIXED,12289.0,268.5,268.5,1.0,1.0,181.0027765
Intelbras - E-commerce (A7B),2022-12-06,[E-COMMERCE] PMax Residências - Venda,MIXED,321249.0,3578.5,3578.5,211.05499999999995,211.05499999999995,1774.375
Intelbras - E-commerce (A7B),2022-12-06,PMax: [E-COMMERCE] Outras Categorias - Conversão,MIXED,1121496.0,11872.0,11872.0,359.67999999999984,359.67999999999984,7540.483768
Intelbras - E-commerce (A7B),2022-12-06,[E-COMMERCE] Institucional - Conversão,SEARCH,378819.5,30175.0,30175.0,188.445,188.445,5972.695
Intelbras - Redes (A7B),2022-12-06,[REDES - FIBRA-ÓPTICA] TRÁFEGO (display) - Fibra Óptica,CONTENT,663.0,119.0,119.0,68.0,68.0,646.0
Intelbras - Redes (A7B),2022-12-06,[REDES - FIBRA-ÓPTICA] CONSIDERAÇÃO (youtube) - Fibra Óptica,YOUTUBE_WATCH,29274.0,127.5,20884.5,0.0,0.0,500.3390105
Intelbras - Comunicação (A7B),2022-12-06,[CM - EC] Conversão (PMAX) - Wide Voice,MIXED,1130.5,246.5,272.0,8.5,8.5,70.563957
Intelbras - Controle de Acesso (A7B),2022-12-05,[CONT-ACESS - INC-ILU] TRÁFEGO (search) - Incêndio,SEARCH,11424.0,756.5,756.5,52.53000000000003,52.53000000000003,1410.915
Intelbras - Controle de Acesso (A7B),2022-12-05,[CONT-ACESS - AUT-PORTÕES] TRÁFEGO (search) - Automatizadores Awareness,SEARCH,14339.5,518.5,518.5,34.0,34.0,563.55
Intelbras - E-commerce (A7B),2022-12-05,[EN - FT] Purchase (Search) - Acessórios USB,SEARCH,9732.5,2567.0,2567.0,34.0,34.0,245.31
Intelbras - Segurança (A7B),2022-12-05,[SEG - TMR] Tráfego (Search) - TMR,SEARCH,19966.5,603.5,603.5,0.0,0.0,156.995
Intelbras - Comunicação (A7B),2022-12-05,[CM - EC] Conversão (PMAX) - Wide Voice,MIXED,1887.0,102.0,110.5,25.5,25.5,292.336369
Intelbras - E-commerce (A7B),2022-12-05,PMax: [E-COMMERCE] Outras Categorias - Conversão,MIXED,958192.0,11608.0,11608.0,436.8000000000003,436.8000000000003,7718.1992
Intelbras - E-commerce (A7B),2022-12-05,[E-COMMERCE] PMax: Outras Categorias - Conversão,MIXED,59887.0,725.5,725.5,27.299999999999997,27.299999999999997,482.38745
Intelbras - E-commerce (A7B),2022-12-05,[Casa Inteligente] PMax: Soluções Residenciais - Smart Shopping - Casa Inteligente - Demais Produtos - 06/2022,MIXED,15509.0,216.0,216.0,4.245,4.245,211.3290245
Intelbras - E-commerce (A7B),2022-12-05,[Casa Inteligente] PMax: Soluções Residenciais - Smart Shopping - Fechadura Eletrônica - Casa Inteligente - 06/2022,MIXED,3605.5,114.0,114.0,1.0,1.0,65.2167815
Intelbras - Segurança (A7B),2022-12-05,[SEG - TMR] Tráfego (Search) - BodyCam,SEARCH,4488.0,136.0,136.0,0.0,0.0,95.285
Intelbras - Segurança (A7B),2022-12-05,[SEG - CFTVIP] Visualizações nos Vídeos (In-feed) - CFTV IP Live,YOUTUBE_WATCH,3082080.0,0.0,95242.5,0.0,0.0,5274.15
Intelbras - Solução Residencial (A7B),2022-12-05,AT - Sol. Residenciais - Venda - Casa Inteligente - Institucional - Jun/22,SEARCH,18946.5,1317.5,1317.5,0.0,0.0,1326.85
